150115_NS500577_0008_AH2NV7BGXX,TANGO-006,2015-01-15,Shilatifard,0,0
150223_NS500577_0012_AH57G3BGXX,TANGO-011,2015-02-23,Shilatifard,0,0
150227_NS500577_0013_AH3MJFBGXX_2,"""""",2000-01-01,"""""",0,0
150303_NS500577_0014_AH3LYFBGXX,TANGO-007,2015-03-03,Shilatifard,0,0
150310_NS500577_0015_AH3MKLBGXX,TANGO-019,2015-03-10,Shilatifard,0,0
150319_NS500577_0016_AH3MC5BGXX,TANGO-021,2015-03-19,Shilatifard,0,1
150319_NS500577_0017_AH3LYCBGXX,TANGO-021,2015-03-19,Shilatifard,0,1
150320_NS500577_0018_AH3MHYBGXX,TANGO-017,2015-03-20,Shilatifard,1,0
150320_NS500577_0018_AH3MHYBGXX,TANGO-018,2015-03-20,Shilatifard,1,1
150320_NS500577_0019_AH3MJGBGXX,TANGO-008,2015-03-20,Shilatifard,0,0
150321_NS500577_0020_AH3MGMBGXX,TANGO-021,2015-03-21,Shilatifard,0,1
150331_NS500577_0021_AH3LTHBGXX,TANGO-018,2015-03-31,Shilatifard,1,1
150331_NS500577_0021_AH3LTHBGXX,TANGO-022,2015-03-31,Shilatifard,1,0
150401_NS500577_0022_AH3MKHBGXX,TANGO-024,2015-04-01,Shilatifard,0,0
150402_NS500577_0023_AH7FHNBGXX,TANGO-020,2015-04-02,Shilatifard,0,0
150406_NS500577_0024_AH7537BGXX,TANGO-018,2015-04-06,Shilatifard,1,1
150406_NS500577_0024_AH7537BGXX,TANGO-028,2015-04-06,Shilatifard,1,0
150407_NS500577_0025_AH7FT3BGXX,TANGO-027,2015-04-07,Shilatifard,0,0
150414_NS500577_0026_AH7FKFBGXX,TANGO-026,2015-04-14,Shilatifard,0,0
150420_NS500577_0027_AH72LVBGXX,TANGO-040,2015-04-20,Shilatifard,0,0
150421_NS500577_0028_AH7FKLBGXX,TANGO-029,2015-04-21,Shilatifard,1,0
150421_NS500577_0028_AH7FKLBGXX,TANGO-041,2015-04-21,Shilatifard,1,0
150421_NS500577_0029_AH7FKYBGXX,TANGO-034,2015-04-21,Shilatifard,1,0
150421_NS500577_0029_AH7FKYBGXX,TANGO-039,2015-04-21,Shilatifard,1,0
150422_NS500577_0030_AHCCYLBGXX,Aging_Flu_20150422,2015-04-22,Misharin,0,0
150423_NS500577_0031_AH75LCBGXX,TANGO-036,2015-04-23,Shilatifard,0,0
150429_NS500577_0032_AH752HBGXX,TANGO-023,2015-04-29,Shilatifard,0,0
150430_NS500577_0033_AH772TBGXX,TANGO-046,2015-04-30,Shilatifard,0,0
150505_NS500577_0034_AH7Y5YBGXX,TANGO-025,2015-05-05,Shilatifard,0,0
150506_NS500577_0035_AH7YC3BGXX,TANGO-037,2015-05-06,Shilatifard,1,0
150506_NS500577_0035_AH7YC3BGXX,TANGO-042,2015-05-06,Shilatifard,1,0
150507_NS500577_0036_AH7MJYBGXX,TANGO-044,2015-05-07,Shilatifard,0,0
150508_NS500577_0037_AH7MHTBGXX,TANGO-051,2015-05-08,Shilatifard,0,0
150511_NS500577_0038_AH7MHMBGXX,TANGO-045,2015-05-11,Shilatifard,1,0
150511_NS500577_0038_AH7MHMBGXX,TANGO-052,2015-05-11,Shilatifard,1,0
150512_NS500577_0039_AH7YF5BGXX,TANGO-031,2015-05-12,Shilatifard,1,0
150512_NS500577_0039_AH7YF5BGXX,TANGO-035,2015-05-12,Shilatifard,1,0
150513_NS500577_0040_AH7MTFBGXX,TANGO-038,2015-05-13,Shilatifard,1,0
150513_NS500577_0040_AH7MTFBGXX,TANGO-053,2015-05-13,Shilatifard,1,0
150514_NS500577_0041_AH7YCFBGXX,TANGO-055,2015-05-14,Shilatifard,0,0
150515_NS500577_0042_AH7MHNBGXX,TANGO-057,2015-05-15,Shilatifard,0,0
150518_NS500577_0043_AH7MKCBGXX,TANGO-030,2015-05-18,Shilatifard,1,0
150518_NS500577_0043_AH7MKCBGXX,TANGO-032,2015-05-18,Shilatifard,1,0
150519_NS500577_0044_AHCF5MBGXX,TANGO-047,2015-05-19,Shilatifard,1,0
150519_NS500577_0044_AHCF5MBGXX,TANGO-048,2015-05-19,Shilatifard,1,0
150520_NS500577_0045_AHCGGCBGXX,CX3CR1_STIA_Sasha_20150520_1,2015-05-20,Misharin,0,0
150521_NS500577_0046_AHCF5HBGXX,TANGO-054,2015-05-21,Shilatifard,1,0
150521_NS500577_0046_AHCF5HBGXX,TANGO-059,2015-05-21,Shilatifard,1,0
150521_NS500577_0046_AHCF5HBGXX,TANGO-064,2015-05-21,Shilatifard,1,0
150522_NS500577_0047_AHCF7HBGXX,"""""",2000-01-01,"""""",0,0
150601_NS500577_0049_AHCF5WBGXX,TANGO-063,2015-06-01,Shilatifard,0,0
150602_NS500577_0050_AHCCV7BGXX,TANGO-058,2015-06-02,Shilatifard,0,0
150603_NS500577_0051_AHCCVTBGXX,TANGO-049,2015-06-03,Shilatifard,0,0
